sumact,max,stdev,fivecount,log,state
3653,389,90.07689836,0,3.995732274,wake
4021,649,142.1420483,1,6.030437921,wake
3944,649,141.7383572,1,6.141663557,wake
4160,649,151.3882112,1,5.615120517,wake
4375,649,166.7649044,2,5.820281566,wake
4784,649,179.5367982,3,4.63758616,wake
5000,649,193.0354643,4,6.176149733,wake
4911,649,188.7986456,4,6.963579344,wake
5232,649,188.6611475,4,6.267858159,wake
5498,649,183.7753028,4,6.141663557,wake
5934,649,200.8597947,5,6.541263545,wake
5610,649,179.3578227,4,7.475432717,wake
6155,649,191.6152146,5,6.236441963,wake
5753,649,192.2949495,5,7.188264123,wake
5629,649,193.8508386,4,7.251903883,wake
5642,649,189.7156644,4,7.315358002,wake
5600,649,197.5819661,4,7.22059017,wake
5912,649,201.1379176,5,6.509388337,wake
5960,649,200.2929402,5,6.407171771,wake
5638,649,200.8130023,5,6.733341277,wake
5208,649,183.8561938,4,7.475432717,wake
5681,649,202.6567588,5,5.934473933,wake
5562,649,204.7909387,5,5.644390899,wake
5287,649,183.0808304,4,4.912023005,wake
5573,649,191.8844642,5,5.369447852,wake
5118,649,190.4468805,5,5.997212274,wake
4868,649,175.9558521,4,4.465735903,wake
4469,649,162.734022,3,5.543294782,wake
4007,649,150.5737756,2,6.303304908,wake
4079,649,150.8558599,2,6.030437921,wake
4044,649,150.1454533,2,5.644390899,wake
4046,649,152.2765029,2,5.8978398,wake
3589,503,109.9431238,1,5.615120517,wake
3447,503,105.9392683,1,6.768320996,wake
3383,341,81.72570267,0,7.22059017,wake
3855,503,106.2090257,1,5.615120517,wake
3821,503,106.7696006,1,6.030437921,wake
3721,503,107.4893572,1,6.375278408,wake
3865,503,103.5502179,1,5.997212274,wake
3724,503,102.6670996,1,6.602118821,wake
3838,503,104.155607,1,5.934473933,wake
3730,503,99.12844001,1,6.831882477,wake
3928,503,104.6204933,1,6.068904202,wake
3866,503,104.6971369,1,6.375278408,wake
3917,503,103.0376723,1,6.407171771,wake
3877,503,97.83633077,1,5.787491743,wake
3521,341,64.88862253,0,5.574710979,wake
3715,341,70.61579481,0,5.709530201,wake
3906,341,78.72293186,0,5.682131227,wake
3993,341,78.70659802,0,5.33073334,wake
3897,341,82.348996,0,6.209486153,wake
3663,341,80.34523721,0,6.509388337,wake
3727,341,83.56112676,0,5.787491743,wake
3565,341,75.07456611,0,5.859812404,wake
3449,341,78.38233523,0,6.068904202,wake
3326,341,78.15847759,0,6.176149733,wake
3220,341,79.22646864,0,5.820281566,wake
3049,341,70.72313557,0,6.733341277,wake
3014,309,66.621032,0,6.831882477,wake
3046,341,75.95424688,0,6.602118821,wake
3105,341,82.95196545,0,6.068904202,wake
