act,slpstate,time
0,0,14:18:00
0,1,14:18:30
8,1,14:19:00
0,1,14:19:30
1,1,14:20:00
92,1,14:20:30
12,0,14:21:00
34,1,14:21:30
35,1,14:22:00
0,1,14:22:30
0,1,14:23:00
118,1,14:23:30
10,1,14:24:00
42,1,14:24:30
34,1,14:25:00
26,1,14:25:30
34,1,14:26:00
67,1,14:26:30
37,1,14:27:00
13,0,14:27:30
22,1,14:28:00
13,1,14:28:30
33,1,14:29:00
9,1,14:29:30
15,0,14:30:00
19,1,14:30:30
26,1,14:31:00
29,1,14:31:30
7,0,14:32:00
10,1,14:32:30
47,0,14:33:00
12,0,14:33:30
6,0,14:34:00
36,0,14:34:30
0,0,14:35:00
1,0,14:35:30
15,1,14:36:00
14,1,14:36:30
8,0,14:37:00
1,1,14:37:30
21,1,14:38:00
17,1,14:38:30
2,1,14:39:00
49,1,14:39:30
16,1,14:40:00
29,1,14:40:30
92,1,14:41:00
67,0,14:41:30
47,0,14:42:00
92,0,14:42:30
35,1,14:43:00
0,0,14:43:30
10,0,14:44:00
0,0,14:44:30
31,1,14:45:00
0,1,14:45:30
0,1,14:46:00
0,1,14:46:30
7,1,14:47:00
8,1,14:47:30
122,1,14:48:00
173,1,14:48:30
95,1,14:49:00
136,1,14:49:30
40,1,14:50:00
285,1,14:50:30
242,1,14:51:00
168,1,14:51:30
113,1,14:52:00
219,1,14:52:30
314,1,14:53:00
335,1,14:53:30
191,1,14:54:00
382,1,14:54:30
242,1,14:55:00
2,1,14:55:30
0,1,14:56:00
136,1,14:56:30
434,1,14:57:00
407,1,14:57:30
347,1,14:58:00
394,1,14:58:30
579,1,14:59:00
420,1,14:59:30
92,0,15:00:00
420,1,15:00:30
17,0,15:01:00
2,0,15:01:30
0,1,15:02:00
22,1,15:02:30
0,1,15:03:00
3,1,15:03:30
20,1,15:04:00
30,1,15:04:30
28,1,15:05:00
3,1,15:05:30
81,1,15:06:00
78,1,15:06:30
65,1,15:07:00
0,1,15:07:30
102,1,15:08:00
420,1,15:08:30
618,1,15:09:00
543,1,15:09:30
234,0,15:10:00
14,0,15:10:30
118,0,15:11:00
1,0,15:11:30
0,0,15:12:00
0,0,15:12:30
0,0,15:13:00
0,0,15:13:30
0,1,15:14:00
0,1,15:14:30
0,1,15:15:00
0,1,15:15:30
0,1,15:16:00
0,1,15:16:30
150,1,15:17:00
145,1,15:17:30
370,1,15:18:00
382,1,15:18:30
131,1,15:19:00
24,1,15:19:30
17,1,15:20:00
0,0,15:20:30
10,1,15:21:00
47,1,15:21:30
63,0,15:22:00
0,1,15:22:30
10,1,15:23:00
31,1,15:23:30
0,1,15:24:00
31,1,15:24:30
49,1,15:25:00
0,1,15:25:30
16,1,15:26:00
127,1,15:26:30
1,1,15:27:00
0,1,15:27:30
35,1,15:28:00
156,1,15:28:30
58,1,15:29:00
16,1,15:29:30
49,1,15:30:00
47,1,15:30:30
56,1,15:31:00
6,0,15:31:30
17,0,15:32:00
36,0,15:32:30
58,0,15:33:00
0,0,15:33:30
8,0,15:34:00
6,0,15:34:30
1,0,15:35:00
0,0,15:35:30
0,1,15:36:00
0,1,15:36:30
3,1,15:37:00
0,1,15:37:30
37,1,15:38:00
0,1,15:38:30
47,1,15:39:00
63,1,15:39:30
294,1,15:40:00
258,1,15:40:30
370,1,15:41:00
250,1,15:41:30
205,1,15:42:00
40,1,15:42:30
179,1,15:43:00
0,1,15:43:30
67,1,15:44:00
74,1,15:44:30
258,1,15:45:00
37,1,15:45:30
85,1,15:46:00
127,1,15:46:30
14,1,15:47:00
1,1,15:47:30
37,1,15:48:00
74,1,15:48:30
40,0,15:49:00
8,1,15:49:30
36,0,15:50:00
