sumact,max,stdev,fivecount,log,state
2616.33333333,438.666666667,125.691240071,0,4.48635519,-1
2622.0,438.666666667,125.126539126,0,4.13549421593,-1
2564.66666667,438.666666667,126.340258218,0,5.58496747867,-1
2614.33333333,438.666666667,125.337837643,0,4.90533401728,-1
2677.66666667,438.666666667,123.48187537,0,3.96183072188,-1
2277.0,438.666666667,121.407264237,0,6.13579843705,-1
2427.33333333,438.666666667,120.837167974,0,4.64631983969,-1
2194.66666667,438.666666667,116.673124538,0,4.23212105162,-1
2010.66666667,438.666666667,118.492470683,0,5.58156032035,-1
1735.0,438.666666667,99.8596395901,0,4.13549421593,-1
1327.33333333,242.666666667,58.0854233188,0,4.28341434601,-1
1030.33333333,170.0,39.1008125872,0,6.49168875953,-1
1488.33333333,285.666666667,75.3834255429,0,4.62877553005,-1
1503.0,285.666666667,74.984601594,0,4.23212105162,-1
1363.33333333,285.666666667,75.9706013873,0,5.46206934235,-1
1440.66666667,285.666666667,75.4919877315,0,4.30810695859,-1
1457.0,285.666666667,75.45891345,0,5.63148749431,-1
1489.33333333,285.666666667,72.6531260139,0,4.14988295338,-1
1557.33333333,285.666666667,73.0801401088,0,4.43398720449,-1
1693.0,285.666666667,73.9172424416,0,4.17805383035,-1
1867.66666667,285.666666667,86.4823436732,0,4.54577861047,-1
2251.33333333,406.0,109.243584922,0,4.52636052462,-1
2386.0,413.0,122.138004174,0,6.65482562993,-1
2512.0,413.0,123.040340526,0,4.23212105162,-1
2892.0,413.0,136.669686378,0,3.97892515524,-1
3255.0,436.333333333,150.47753616,0,5.21459369037,-1
3176.33333333,436.333333333,152.371837029,0,5.70953020131,-1
3250.33333333,436.333333333,150.164329739,0,5.81218435537,-1
3222.66666667,436.333333333,150.907752403,0,5.73619844839,-1
3265.0,436.333333333,148.708722431,0,6.03695260241,-1
3191.33333333,436.333333333,144.057893639,0,6.64544689764,-1
3084.0,436.333333333,134.792044417,0,7.0063531596,-1
3163.66666667,436.333333333,131.807328922,0,7.02344759296,-1
3566.0,436.333333333,140.275545165,0,5.68521289366,-1
3024.33333333,436.333333333,127.709065031,0,7.02102334935,-1
3066.66666667,413.0,122.697365034,0,7.07840647724,-1
3476.33333333,436.333333333,134.681619475,0,4.93834031374,-1
3364.0,436.333333333,138.723729102,0,5.73033332894,-1
3323.0,436.333333333,140.467479149,0,5.18965474203,-1
3183.33333333,436.333333333,144.30611386,0,5.66028948521,-1
3111.33333333,436.333333333,146.508802126,0,5.45821577303,-1
3029.33333333,436.333333333,147.661809731,0,4.68051120444,-1
2721.0,436.333333333,146.704773188,0,5.79854157897,-1
2406.0,436.333333333,132.319484702,0,5.88027347624,-1
2139.66666667,436.333333333,113.190465506,0,4.86423234159,-1
2015.66666667,436.333333333,114.81978518,0,5.52178857705,-1
1678.33333333,436.333333333,89.5806219596,0,4.79173683955,-1
1419.33333333,150.333333333,40.3587942725,0,3.85263142991,-1
1766.33333333,403.666666667,83.6766483643,0,4.12089541651,-1
1800.66666667,403.666666667,84.6310229935,0,4.13549421593,-1
