time,mstime,act_x,act_y,act_z,act_m
2017-02-23 00:00:00,1487782800000,175.0,444.0,216.0,278.333333333
2017-02-23 00:00:30,1487782830000,221.0,546.0,416.0,394.333333333
2017-02-23 00:01:00,1487782860000,314.0,625.0,357.0,432.0
2017-02-23 00:01:30,1487782890000,119.0,417.0,110.0,215.333333333
2017-02-23 00:02:00,1487782920000,55.0,101.0,53.0,69.6666666667
2017-02-23 00:02:30,1487782950000,152.0,455.0,253.0,286.666666667
2017-02-23 00:03:00,1487782980000,357.0,677.0,254.0,429.333333333
2017-02-23 00:03:30,1487783010000,33.0,282.0,199.0,171.333333333
2017-02-23 00:04:00,1487783040000,32.0,92.0,19.0,47.6666666667
2017-02-23 00:04:30,1487783070000,220.0,1114.0,311.0,548.333333333
2017-02-23 00:05:00,1487783100000,456.0,941.0,666.0,687.666666667
2017-02-23 00:05:30,1487783130000,449.0,1151.0,294.0,631.333333333
2017-02-23 00:06:00,1487783160000,65.0,248.0,159.0,157.333333333
2017-02-23 00:06:30,1487783190000,275.0,923.0,232.0,476.666666667
2017-02-23 00:07:00,1487783220000,658.0,1269.0,846.0,924.333333333
2017-02-23 00:07:30,1487783250000,213.0,836.0,200.0,416.333333333
2017-02-23 00:08:00,1487783280000,37.0,124.0,17.0,59.3333333333
2017-02-23 00:08:30,1487783310000,6.0,65.0,8.0,26.3333333333
2017-02-23 00:09:00,1487783340000,16.0,143.0,37.0,65.3333333333
2017-02-23 00:09:30,1487783370000,48.0,200.0,34.0,94.0
2017-02-23 00:10:00,1487783400000,75.0,88.0,22.0,61.6666666667
2017-02-23 00:10:30,1487783430000,118.0,321.0,272.0,237.0
2017-02-23 00:11:00,1487783460000,13.0,57.0,1.0,23.6666666667
2017-02-23 00:11:30,1487783490000,9.0,31.0,0.0,13.3333333333
2017-02-23 00:12:00,1487783520000,36.0,194.0,48.0,92.6666666667
2017-02-23 00:12:30,1487783550000,33.0,97.0,19.0,49.6666666667
2017-02-23 00:13:00,1487783580000,8.0,70.0,5.0,27.6666666667
2017-02-23 00:13:30,1487783610000,66.0,122.0,1.0,63.0
2017-02-23 00:14:00,1487783640000,59.0,203.0,31.0,97.6666666667
2017-02-23 00:14:30,1487783670000,25.0,118.0,13.0,52.0
2017-02-23 00:15:00,1487783700000,10.0,84.0,2.0,32.0
2017-02-23 00:15:30,1487783730000,15.0,37.0,7.0,19.6666666667
2017-02-23 00:16:00,1487783760000,15.0,65.0,11.0,30.3333333333
2017-02-23 00:16:30,1487783790000,22.0,65.0,18.0,35.0
2017-02-23 00:17:00,1487783820000,133.0,428.0,284.0,281.666666667
2017-02-23 00:17:30,1487783850000,12.0,37.0,4.0,17.6666666667
2017-02-23 00:18:00,1487783880000,7.0,35.0,1.0,14.3333333333
2017-02-23 00:18:30,1487783910000,5.0,51.0,3.0,19.6666666667
2017-02-23 00:19:00,1487783940000,216.0,278.0,134.0,209.333333333
2017-02-23 00:19:30,1487783970000,10.0,50.0,10.0,23.3333333333
2017-02-23 00:20:00,1487784000000,37.0,73.0,18.0,42.6666666667
2017-02-23 00:20:30,1487784030000,14.0,45.0,1.0,20.0
2017-02-23 00:21:00,1487784060000,19.0,46.0,6.0,23.6666666667
2017-02-23 00:21:30,1487784090000,30.0,65.0,19.0,38.0
2017-02-23 00:22:00,1487784120000,12.0,45.0,1.0,19.3333333333
2017-02-23 00:22:30,1487784150000,11.0,45.0,3.0,19.6666666667
2017-02-23 00:23:00,1487784180000,9.0,39.0,3.0,17.0
2017-02-23 00:23:30,1487784210000,7.0,39.0,0.0,15.3333333333
2017-02-23 00:24:00,1487784240000,10.0,41.0,3.0,18.0
2017-02-23 00:24:30,1487784270000,6.0,35.0,0.0,13.6666666667
2017-02-23 00:25:00,1487784300000,8.0,39.0,1.0,16.0
2017-02-23 00:25:30,1487784330000,11.0,46.0,4.0,20.3333333333
2017-02-23 00:26:00,1487784360000,8.0,40.0,4.0,17.3333333333
2017-02-23 00:26:30,1487784390000,6.0,43.0,9.0,19.3333333333
2017-02-23 00:27:00,1487784420000,4.0,43.0,0.0,15.6666666667
2017-02-23 00:27:30,1487784450000,11.0,92.0,20.0,41.0
2017-02-23 00:28:00,1487784480000,45.0,250.0,42.0,112.333333333
2017-02-23 00:28:30,1487784510000,13.0,45.0,7.0,21.6666666667
2017-02-23 00:29:00,1487784540000,4.0,33.0,1.0,12.6666666667
2017-02-23 00:29:30,1487784570000,32.0,82.0,42.0,52.0
2017-02-23 00:30:00,1487784600000,24.0,106.0,12.0,47.3333333333
2017-02-23 00:30:30,1487784630000,1.0,33.0,1.0,11.6666666667
2017-02-23 00:31:00,1487784660000,45.0,428.0,74.0,182.333333333
2017-02-23 00:31:30,1487784690000,26.0,117.0,14.0,52.3333333333
2017-02-23 00:32:00,1487784720000,7.0,45.0,2.0,18.0
2017-02-23 00:32:30,1487784750000,7.0,65.0,11.0,27.6666666667
2017-02-23 00:33:00,1487784780000,39.0,120.0,15.0,58.0
2017-02-23 00:33:30,1487784810000,2.0,37.0,0.0,13.0
2017-02-23 00:34:00,1487784840000,4.0,37.0,0.0,13.6666666667
2017-02-23 00:34:30,1487784870000,10.0,35.0,10.0,18.3333333333
2017-02-23 00:35:00,1487784900000,5.0,38.0,1.0,14.6666666667
2017-02-23 00:35:30,1487784930000,5.0,70.0,9.0,28.0
2017-02-23 00:36:00,1487784960000,5.0,37.0,0.0,14.0
2017-02-23 00:36:30,1487784990000,18.0,85.0,37.0,46.6666666667
2017-02-23 00:37:00,1487785020000,28.0,59.0,16.0,34.3333333333
2017-02-23 00:37:30,1487785050000,36.0,118.0,64.0,72.6666666667
2017-02-23 00:38:00,1487785080000,5.0,29.0,3.0,12.3333333333
2017-02-23 00:38:30,1487785110000,36.0,132.0,16.0,61.3333333333
2017-02-23 00:39:00,1487785140000,4.0,36.0,1.0,13.6666666667
2017-02-23 00:39:30,1487785170000,135.0,252.0,324.0,237.0
2017-02-23 00:40:00,1487785200000,78.0,142.0,61.0,93.6666666667
2017-02-23 00:40:30,1487785230000,116.0,180.0,105.0,133.666666667
2017-02-23 00:41:00,1487785260000,69.0,144.0,55.0,89.3333333333
2017-02-23 00:41:30,1487785290000,35.0,195.0,51.0,93.6666666667
2017-02-23 00:42:00,1487785320000,35.0,171.0,51.0,85.6666666667
2017-02-23 00:42:30,1487785350000,74.0,94.0,121.0,96.3333333333
2017-02-23 00:43:00,1487785380000,46.0,361.0,58.0,155.0
2017-02-23 00:43:30,1487785410000,84.0,294.0,103.0,160.333333333
2017-02-23 00:44:00,1487785440000,26.0,76.0,41.0,47.6666666667
2017-02-23 00:44:30,1487785470000,139.0,343.0,106.0,196.0
2017-02-23 00:45:00,1487785500000,49.0,133.0,88.0,90.0
2017-02-23 00:45:30,1487785530000,67.0,142.0,122.0,110.333333333
2017-02-23 00:46:00,1487785560000,34.0,77.0,38.0,49.6666666667
2017-02-23 00:46:30,1487785590000,55.0,68.0,39.0,54.0
2017-02-23 00:47:00,1487785620000,169.0,568.0,121.0,286.0
2017-02-23 00:47:30,1487785650000,19.0,140.0,81.0,80.0
2017-02-23 00:48:00,1487785680000,171.0,615.0,243.0,343.0
2017-02-23 00:48:30,1487785710000,7.0,43.0,4.0,18.0
2017-02-23 00:49:00,1487785740000,20.0,109.0,60.0,63.0
2017-02-23 00:49:30,1487785770000,29.0,100.0,26.0,51.6666666667
2017-02-23 00:50:00,1487785800000,59.0,256.0,87.0,134.0
2017-02-23 00:50:30,1487785830000,28.0,48.0,20.0,32.0
2017-02-23 00:51:00,1487785860000,10.0,41.0,1.0,17.3333333333
2017-02-23 00:51:30,1487785890000,74.0,141.0,155.0,123.333333333
2017-02-23 00:52:00,1487785920000,21.0,41.0,9.0,23.6666666667
2017-02-23 00:52:30,1487785950000,66.0,49.0,142.0,85.6666666667
2017-02-23 00:53:00,1487785980000,48.0,72.0,26.0,48.6666666667
2017-02-23 00:53:30,1487786010000,267.0,1066.0,239.0,524.0
2017-02-23 00:54:00,1487786040000,32.0,221.0,15.0,89.3333333333
2017-02-23 00:54:30,1487786070000,54.0,74.0,51.0,59.6666666667
2017-02-23 00:55:00,1487786100000,58.0,136.0,33.0,75.6666666667
2017-02-23 00:55:30,1487786130000,97.0,674.0,255.0,342.0
2017-02-23 00:56:00,1487786160000,124.0,718.0,299.0,380.333333333
2017-02-23 00:56:30,1487786190000,119.0,455.0,163.0,245.666666667
2017-02-23 00:57:00,1487786220000,54.0,137.0,77.0,89.3333333333
2017-02-23 00:57:30,1487786250000,17.0,52.0,16.0,28.3333333333
2017-02-23 00:58:00,1487786280000,83.0,133.0,64.0,93.3333333333
2017-02-23 00:58:30,1487786310000,138.0,583.0,177.0,299.333333333
2017-02-23 00:59:00,1487786340000,39.0,243.0,72.0,118.0
2017-02-23 00:59:30,1487786370000,152.0,406.0,239.0,265.666666667
2017-02-23 01:00:00,1487786400000,72.0,634.0,184.0,296.666666667
2017-02-23 01:00:30,1487786430000,8.0,30.0,7.0,15.0
2017-02-23 01:01:00,1487786460000,155.0,106.0,273.0,178.0
2017-02-23 01:01:30,1487786490000,30.0,166.0,10.0,68.6666666667
2017-02-23 01:02:00,1487786520000,10.0,35.0,20.0,21.6666666667
2017-02-23 01:02:30,1487786550000,108.0,193.0,123.0,141.333333333
2017-02-23 01:03:00,1487786580000,61.0,216.0,72.0,116.333333333
2017-02-23 01:03:30,1487786610000,170.0,204.0,271.0,215.0
2017-02-23 01:04:00,1487786640000,8.0,44.0,2.0,18.0
2017-02-23 01:04:30,1487786670000,7.0,32.0,6.0,15.0
2017-02-23 01:05:00,1487786700000,22.0,64.0,30.0,38.6666666667
2017-02-23 01:05:30,1487786730000,68.0,202.0,200.0,156.666666667
2017-02-23 01:06:00,1487786760000,57.0,169.0,109.0,111.666666667
2017-02-23 01:06:30,1487786790000,115.0,116.0,116.0,115.666666667
2017-02-23 01:07:00,1487786820000,6.0,32.0,1.0,13.0
2017-02-23 01:07:30,1487786850000,4.0,42.0,2.0,16.0
2017-02-23 01:08:00,1487786880000,5.0,30.0,3.0,12.6666666667
2017-02-23 01:08:30,1487786910000,9.0,29.0,1.0,13.0
2017-02-23 01:09:00,1487786940000,9.0,38.0,1.0,16.0
2017-02-23 01:09:30,1487786970000,30.0,48.0,40.0,39.3333333333
2017-02-23 01:10:00,1487787000000,66.0,173.0,158.0,132.333333333
2017-02-23 01:10:30,1487787030000,11.0,64.0,29.0,34.6666666667
2017-02-23 01:11:00,1487787060000,48.0,48.0,8.0,34.6666666667
2017-02-23 01:11:30,1487787090000,82.0,84.0,49.0,71.6666666667
