time,mstime,gy_x,gy_y,gy_z
2017-02-23 00:00:00,1487782800000,-2.0,+0.0,+0.0
2017-02-23 00:00:00,1487782800000,+6.0,+4.0,+0.0
2017-02-23 00:00:00,1487782800000,+0.0,+0.0,+0.0
2017-02-23 00:00:00,1487782800000,-1.0,+5.0,+0.0
2017-02-23 00:00:00,1487782800000,+0.0,+0.0,+0.0
2017-02-23 00:00:00,1487782800000,-3.0,-3.0,-4.0
2017-02-23 00:00:00,1487782800000,+0.0,+100.0,-127.0
2017-02-23 00:00:00,1487782800000,-96.0,-86.0,+53.0
2017-02-23 00:00:00,1487782800000,+14.0,-1.0,+0.0
2017-02-23 00:00:00,1487782800000,-50.0,-229.0,+28.0
2017-02-23 00:00:00,1487782800000,-2.0,+3.0,-1.0
2017-02-23 00:00:00,1487782800000,-1.0,-5.0,+0.0
2017-02-23 00:00:00,1487782800000,+0.0,+3.0,+0.0
2017-02-23 00:00:00,1487782800000,+0.0,+4.0,-2.0
2017-02-23 00:00:00,1487782800000,+0.0,+1.0,+1.0
2017-02-23 00:00:00,1487782800000,+5.0,-256.0,+206.0
2017-02-23 00:00:00,1487782800000,-9.0,+21.0,+6.0
2017-02-23 00:00:00,1487782800000,+0.0,+8.0,-2.0
2017-02-23 00:00:00,1487782800000,-6.0,-5.0,+0.0
2017-02-23 00:00:00,1487782800000,+1.0,+2.0,+0.0
2017-02-23 00:00:00,1487782800000,+12.0,-7.0,+3.0
2017-02-23 00:00:00,1487782800000,+0.0,+0.0,+0.0
2017-02-23 00:00:00,1487782800000,+3.0,-3.0,+0.0
2017-02-23 00:00:00,1487782800000,+14.0,+46.0,-16.0
2017-02-23 00:00:00,1487782800000,-10.0,+5.0,-34.0
2017-02-23 00:00:00,1487782800000,+46.0,-38.0,+21.0
2017-02-23 00:00:00,1487782800000,-1.0,+1.0,+0.0
2017-02-23 00:00:00,1487782800000,+2.0,+2.0,+0.0
2017-02-23 00:00:00,1487782800000,-106.0,-117.0,+118.0
2017-02-23 00:00:00,1487782800000,+6.0,+35.0,+10.0
2017-02-23 00:01:00,1487782860000,-69.0,+7.0,-6.0
2017-02-23 00:01:00,1487782860000,+73.0,-91.0,+110.0
2017-02-23 00:01:00,1487782860000,-8.0,+63.0,+16.0
2017-02-23 00:01:00,1487782860000,-7.0,+10.0,+5.0
2017-02-23 00:01:00,1487782860000,-3.0,+3.0,+1.0
2017-02-23 00:01:00,1487782860000,-7.0,-93.0,-89.0
2017-02-23 00:01:00,1487782860000,-5.0,-22.0,-4.0
2017-02-23 00:01:00,1487782860000,-27.0,+16.0,-10.0
2017-02-23 00:01:00,1487782860000,-4.0,+0.0,-3.0
2017-02-23 00:01:00,1487782860000,+84.0,+255.0,+101.0
2017-02-23 00:01:00,1487782860000,-12.0,-29.0,-6.0
2017-02-23 00:01:00,1487782860000,-9.0,+9.0,+2.0
2017-02-23 00:01:00,1487782860000,+0.0,+16.0,+4.0
2017-02-23 00:01:00,1487782860000,-1.0,+6.0,+0.0
2017-02-23 00:01:00,1487782860000,-5.0,-5.0,+0.0
2017-02-23 00:01:00,1487782860000,-29.0,-12.0,-18.0
2017-02-23 00:01:00,1487782860000,-18.0,-35.0,-6.0
2017-02-23 00:01:00,1487782860000,-14.0,-14.0,+3.0
2017-02-23 00:01:00,1487782860000,+0.0,+255.0,-30.0
2017-02-23 00:01:00,1487782860000,-1.0,+2.0,+1.0
2017-02-23 00:01:00,1487782860000,+2.0,+1.0,+0.0
2017-02-23 00:01:00,1487782860000,-5.0,+5.0,-2.0
2017-02-23 00:01:00,1487782860000,-9.0,+18.0,+0.0
2017-02-23 00:01:00,1487782860000,-1.0,+3.0,+0.0
2017-02-23 00:01:00,1487782860000,-2.0,+5.0,+0.0
2017-02-23 00:01:00,1487782860000,-1.0,+2.0,+0.0
2017-02-23 00:01:00,1487782860000,-26.0,+46.0,+31.0
2017-02-23 00:01:00,1487782860000,-4.0,-4.0,+12.0
2017-02-23 00:01:00,1487782860000,-6.0,+10.0,+2.0
2017-02-23 00:01:00,1487782860000,+1.0,-5.0,-5.0
2017-02-23 00:02:00,1487782920000,+0.0,+28.0,-6.0
2017-02-23 00:02:00,1487782920000,+7.0,-1.0,+0.0
2017-02-23 00:02:00,1487782920000,-14.0,-13.0,-13.0
2017-02-23 00:02:00,1487782920000,+7.0,-1.0,+0.0
2017-02-23 00:02:00,1487782920000,-1.0,+8.0,+2.0
2017-02-23 00:02:00,1487782920000,-8.0,-18.0,-9.0
2017-02-23 00:02:00,1487782920000,+0.0,+3.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+5.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+2.0,+0.0
2017-02-23 00:02:00,1487782920000,-1.0,+2.0,+0.0
2017-02-23 00:02:00,1487782920000,-1.0,+3.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+2.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+0.0,+5.0
2017-02-23 00:02:00,1487782920000,-8.0,-7.0,+8.0
2017-02-23 00:02:00,1487782920000,+8.0,+8.0,-10.0
2017-02-23 00:02:00,1487782920000,-40.0,+10.0,-24.0
2017-02-23 00:02:00,1487782920000,-4.0,-10.0,-8.0
2017-02-23 00:02:00,1487782920000,-5.0,+150.0,-193.0
2017-02-23 00:02:00,1487782920000,-2.0,+3.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+2.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+0.0,+1.0
2017-02-23 00:02:00,1487782920000,+39.0,-7.0,-11.0
2017-02-23 00:02:00,1487782920000,-3.0,+1.0,+0.0
2017-02-23 00:02:00,1487782920000,-1.0,+1.0,+1.0
2017-02-23 00:02:00,1487782920000,+30.0,-34.0,+7.0
2017-02-23 00:02:00,1487782920000,+16.0,+106.0,+1.0
2017-02-23 00:02:00,1487782920000,+5.0,+87.0,+5.0
2017-02-23 00:02:00,1487782920000,+0.0,+0.0,+0.0
2017-02-23 00:02:00,1487782920000,+0.0,+0.0,+0.0
2017-02-23 00:02:00,1487782920000,-2.0,+2.0,+0.0
2017-02-23 00:02:00,1487782920000,+5.0,+42.0,-2.0
2017-02-23 00:03:00,1487782980000,-1.0,+0.0,+1.0
2017-02-23 00:03:00,1487782980000,-49.0,-199.0,+144.0
2017-02-23 00:03:00,1487782980000,-256.0,-248.0,+9.0
2017-02-23 00:03:00,1487782980000,+0.0,+8.0,-5.0
2017-02-23 00:03:00,1487782980000,-9.0,+0.0,+2.0
2017-02-23 00:03:00,1487782980000,+0.0,-50.0,-27.0
2017-02-23 00:03:00,1487782980000,-2.0,+2.0,-1.0
2017-02-23 00:03:00,1487782980000,-2.0,+2.0,+0.0
2017-02-23 00:03:00,1487782980000,+0.0,+2.0,+0.0
2017-02-23 00:03:00,1487782980000,-1.0,+2.0,+0.0
2017-02-23 00:03:00,1487782980000,-7.0,+3.0,-4.0
2017-02-23 00:03:00,1487782980000,-9.0,+94.0,+24.0
2017-02-23 00:03:00,1487782980000,-3.0,-13.0,-8.0
2017-02-23 00:03:00,1487782980000,-3.0,-1.0,-2.0
2017-02-23 00:03:00,1487782980000,-2.0,+1.0,-2.0
2017-02-23 00:03:00,1487782980000,+1.0,+0.0,+3.0
2017-02-23 00:03:00,1487782980000,-1.0,-1.0,+1.0
2017-02-23 00:03:00,1487782980000,+0.0,+2.0,+0.0
2017-02-23 00:03:00,1487782980000,+0.0,+2.0,+0.0
2017-02-23 00:03:00,1487782980000,+11.0,+47.0,+21.0
2017-02-23 00:03:00,1487782980000,-1.0,-55.0,+152.0
2017-02-23 00:03:00,1487782980000,-7.0,-25.0,-3.0
2017-02-23 00:03:00,1487782980000,-1.0,+8.0,+1.0
2017-02-23 00:03:00,1487782980000,-1.0,+14.0,-8.0
2017-02-23 00:03:00,1487782980000,+2.0,+13.0,-3.0
2017-02-23 00:03:00,1487782980000,+0.0,+19.0,+1.0
2017-02-23 00:03:00,1487782980000,+0.0,-1.0,-9.0
2017-02-23 00:03:00,1487782980000,+6.0,+32.0,+2.0
2017-02-23 00:03:00,1487782980000,-1.0,+32.0,+3.0
2017-02-23 00:03:00,1487782980000,+0.0,-4.0,+0.0
2017-02-23 00:03:00,1487782980000,+1.0,-15.0,-7.0
2017-02-23 00:03:00,1487782980000,+5.0,+25.0,-3.0
2017-02-23 00:03:00,1487782980000,-1.0,+5.0,+0.0
2017-02-23 00:03:00,1487782980000,+0.0,+2.0,-1.0
2017-02-23 00:03:00,1487782980000,-1.0,+12.0,+2.0
