sumact,max,stdev,fivecount,log,state
767,179,56.30241473,0,1,sleep
807,179,58.4128166,0,1,wake
809,179,58.36233293,0,3.079441542,wake
858,179,57.47198075,0,1,wake
891,179,56.77461706,0,1,wake
824,179,55.74397255,0,5.521788577,wake
938,179,55.70397951,0,3.48490665,sleep
983,179,55.41626029,0,4.526360525,wake
840,156,46.41766905,0,4.555348061,wake
732,127,37.57297661,0,1,wake
627,118,31.132436,0,1,wake
480,92,24.09831055,0,5.770684624,wake
621,118,30.93149112,0,3.302585093,wake
598,118,30.73047193,0,4.737669618,wake
613,118,30.65227406,0,4.526360525,wake
640,118,30.0176932,0,4.258096538,wake
657,118,29.29700131,0,4.526360525,wake
561,118,24.26755624,0,5.204692619,wake
586,118,25.92085022,0,4.610917913,wake
586,118,26.05936446,0,3.564949357,sleep
589,118,26.53577998,0,4.091042453,wake
610,118,25.8292009,0,3.564949357,wake
596,118,25.75165274,0,4.496507561,wake
538,67,15.45146009,0,3.197224577,wake
522,67,16.33794881,0,3.708050201,sleep
477,67,16.70372071,0,3.944438979,wake
451,67,16.55783515,0,4.258096538,wake
436,67,16.54057061,0,4.36729583,wake
432,67,16.3357627,0,2.945910149,sleep
363,47,13.05811187,0,3.302585093,wake
310,36,10.17794067,0,4.850147602,sleep
349,47,12.31452878,0,3.48490665,sleep
335,47,12.48389439,0,2.791759469,sleep
341,49,13.95673587,0,4.583518938,sleep
360,49,13.64655896,0,1,sleep
379,49,13.81114112,0,1,sleep
442,92,21.64134051,0,3.708050201,wake
491,92,23.81906,0,3.63905733,wake
518,92,24.2019283,0,3.079441542,sleep
588,92,28.0303407,0,1,wake
596,92,28.28334526,0,4.044522438,wake
590,92,28.62674407,0,3.833213344,wake
568,92,28.08821139,0,1.693147181,wake
509,92,28.51649481,0,4.891820298,wake
567,92,28.60244745,0,3.772588722,wake
518,92,29.16561903,0,4.36729583,wake
455,92,24.80792884,0,5.521788577,wake
479,92,27.58191264,0,5.204692619,sleep
491,92,28.95250627,0,4.850147602,sleep
440,92,25.13856836,0,5.521788577,sleep
611,122,36.15232325,0,4.555348061,wake
818,173,46.47953979,0,1,sleep
882,173,48.22343828,0,3.302585093,sleep
1011,173,51.56964777,0,1,sleep
1018,173,51.54960625,0,4.433987204,wake
